date,visitors_pool_total,sportbad_closed,freizeitbad_closed,sauna_closed,kursbecken_closed,event,price_adult_90min,price_adult_max,price_reduced_90min,price_reduced_max,sloop_dummy,sloop_days_since_opening,school_holiday,bank_holiday,precipitation_DWD,snow_height_DWD,air_humidity_UniOS,air_pressure_UniOS,global_solar_radiation_UniOS,temperature_UniOS,wind_speed_avg_UniOS,wind_speed_max_UniOS,wind_direction_E,wind_direction_N,wind_direction_NE,wind_direction_NW,wind_direction_SE,wind_direction_SW,wind_direction_W
6/12/2009,379,0,1,1,0,1,4.6,7.6,2.6,4.6,0,0,0,0,0.3,0,59.7025242718,1008.5442233,442.841165049,13.7664563107,15.2600970874,56.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6/13/2009,529,0,1,1,0,1,4.6,7.6,2.6,4.6,0,0,0,0,0.0,0,60.0528472222,1011.07409722,394.124340278,14.0957986111,8.1325347222,27.31,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6/14/2009,560,0,1,1,0,1,4.6,7.6,2.6,4.6,0,0,0,0,2.5,0,73.8840277778,1007.89319444,175.023298611,15.7382638889,8.7484375,39.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6/15/2009,435,0,1,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,2.1,0,78.7272222222,1005.88211806,140.514861111,15.6057291667,7.1434375,31.21,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6/16/2009,288,0,1,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,0.3,0,75.7188194444,1009.65295139,188.287638889,13.5484027778,6.7292708333,32.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6/17/2009,377,0,1,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,0.5,0,62.7143055556,1012.02097222,379.235763889,16.3337152778,7.8565625,33.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6/18/2009,328,0,1,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,0.0,0,63.3393425606,1005.34550173,276.411314879,18.1069550173,11.9558477509,38.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6/19/2009,285,0,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,0.7,0,61.4167361111,1005.89298611,295.8646875,15.3989930556,13.840625,53.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6/20/2009,377,0,0,1,0,1,4.6,7.6,2.6,4.6,0,0,0,0,4.4,0,74.2308680556,1009.19899306,220.041875,12.6311458333,10.8966666667,42.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6/21/2009,539,0,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,1.3,0,74.5164930556,1010.38864583,233.6484375,12.8507986111,8.6051388889,35.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6/22/2009,330,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,0.0,0,68.2784375,1015.07503472,260.364270833,14.3140625,6.9354166667,24.94,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6/23/2009,496,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,0.0,0,67.3904861111,1016.47802083,362.830902778,17.2410416667,11.2879513889,47.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6/24/2009,623,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,0.0,0,59.0073263889,1011.15166667,418.415416667,18.8968402778,13.9258680556,50.82,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6/25/2009,861,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,0.0,0,65.0446180556,1004.63614583,348.751006944,19.01625,14.1098263889,53.88,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6/26/2009,639,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,0.0,0,76.8906944444,1002.44232639,231.541284722,19.8520138889,12.1756597222,44.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6/27/2009,687,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,0.0,0,77.3557986111,1004.890625,212.426006944,19.80125,12.3176041667,45.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6/28/2009,2146,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,0.0,0,73.7372222222,1006.03611111,227.445694444,20.0888888889,8.5592361111,30.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6/29/2009,1546,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,0.0,0,71.1724369748,1007.58987395,233.213907563,21.9058823529,6.6301680672,28.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7/2/2009,1954,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.0,0,62.8931687243,1008.73893004,374.122016461,24.9167489712,10.0566666667,32.28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7/3/2009,2701,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.6,0,66.1135763889,1003.24979167,288.410416667,24.5499652778,8.0604861111,46.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7/4/2009,1779,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.0,0,67.7716666667,1002.50850694,293.675277778,21.2212152778,10.646875,31.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7/5/2009,2707,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,3.1,0,53.5579861111,1000.92111111,384.193368056,22.3164930556,5.2332638889,27.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7/6/2009,1464,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.0,0,72.4740277778,997.611041667,287.892881944,19.1476041667,11.4130555556,51.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/7/2009,1376,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,4.9,0,67.9268402778,994.7171875,334.580034722,17.1953819444,16.8388194444,56.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/8/2009,1568,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,8.4,0,82.5842168675,995.208232932,174.355261044,14.8265461847,14.5499598394,50.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7/9/2009,1559,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,7.6,0,80.4373263889,1000.79357639,202.0434375,13.2580902778,14.0213888889,44.17,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/10/2009,1607,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,14.4,0,86.3643055556,999.629895833,98.7998958333,12.1645486111,17.3782638889,64.29,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/11/2009,1684,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,4.5,0,82.0778819444,1003.18298611,160.579375,13.4515972222,10.6878819444,35.13,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/12/2009,2800,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,2.0,0,87.3407986111,1000.06142361,117.560590278,15.9085416667,7.9567361111,29.57,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/13/2009,1535,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.0,0,67.9501736111,1001.37125,330.464131944,18.5258680556,10.5427083333,39.11,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/14/2009,1979,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.0,0,65.5719097222,1000.69770833,301.094340278,20.9451388889,8.5717361111,54.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/15/2009,1997,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.0,0,64.7976736111,1005.44791667,329.626597222,21.7161458333,12.0661111111,47.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/16/2009,2256,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.0,0,55.8013888889,1010.49934028,327.698020833,21.6327777778,7.4132291667,32.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7/17/2009,1591,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.8,0,63.1185763889,999.580694444,196.054270833,20.3595138889,10.5914930556,39.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/18/2009,1473,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,0.0,0,71.1894097222,997.751145833,154.780902778,16.4071875,15.8833333333,52.82,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7/19/2009,2581,1,0,0,0,0,4.6,7.6,2.6,4.6,0,0,3,0,4.8,0,78.5110763889,1001.75368056,161.329479167,15.1330902778,10.7712152778,44.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
