date,air_humidity_UniOS,air_pressure_UniOS,global_solar_radiation_UniOS,temperature_UniOS,wind_speed_avg_UniOS,wind_speed_max_UniOS,wind_direction_category_UniOS,year,month,day
2009-06-12,59.7025242718,1008.5442233,442.841165049,13.7664563107,15.2600970874,56.14,W,2009.0,6.0,12.0
2009-06-13,60.0528472222,1011.07409722,394.124340278,14.0957986111,8.13253472222,27.31,W,2009.0,6.0,13.0
2009-06-14,73.8840277778,1007.89319444,175.023298611,15.7382638889,8.7484375,39.67,SW,2009.0,6.0,14.0
2009-06-15,78.7272222222,1005.88211806,140.514861111,15.6057291667,7.1434375,31.21,W,2009.0,6.0,15.0
2009-06-16,75.7188194444,1009.65295139,188.287638889,13.5484027778,6.72927083333,32.66,W,2009.0,6.0,16.0
2009-06-17,62.7143055556,1012.02097222,379.235763889,16.3337152778,7.8565625,33.44,SE,2009.0,6.0,17.0
2009-06-18,63.3393425606,1005.34550173,276.411314879,18.1069550173,11.9558477509,38.03,W,2009.0,6.0,18.0
2009-06-19,61.4167361111,1005.89298611,295.8646875,15.3989930556,13.840625,53.88,W,2009.0,6.0,19.0
2009-06-20,74.2308680556,1009.19899306,220.041875,12.6311458333,10.8966666667,42.12,SW,2009.0,6.0,20.0
2009-06-21,74.5164930556,1010.38864583,233.6484375,12.8507986111,8.60513888889,35.13,W,2009.0,6.0,21.0
2009-06-22,68.2784375,1015.07503472,260.364270833,14.3140625,6.93541666667,24.94,W,2009.0,6.0,22.0
2009-06-23,67.3904861111,1016.47802083,362.830902778,17.2410416667,11.2879513889,47.25,N,2009.0,6.0,23.0
2009-06-24,59.0073263889,1011.15166667,418.415416667,18.8968402778,13.9258680556,50.82,NE,2009.0,6.0,24.0
2009-06-25,65.0446180556,1004.63614583,348.751006944,19.01625,14.1098263889,53.88,NE,2009.0,6.0,25.0
2009-06-26,76.8906944444,1002.44232639,231.541284722,19.8520138889,12.1756597222,44.17,E,2009.0,6.0,26.0
2009-06-27,77.3557986111,1004.890625,212.426006944,19.80125,12.3176041667,45.66,E,2009.0,6.0,27.0
2009-06-28,73.7372222222,1006.03611111,227.445694444,20.0888888889,8.55923611111,30.53,E,2009.0,6.0,28.0
2009-06-29,71.1724369748,1007.58987395,233.213907563,21.9058823529,6.63016806723,28.68,SE,2009.0,6.0,29.0
2009-06-30,62.9238172043,1010.24026882,331.755322581,23.7486021505,7.02424731183,23.92,,2009.0,6.0,30.0
2009-07-01,69.5453005464,1011.56136612,336.953715847,33.8340983607,7.79338797814,33.04,,2009.0,7.0,1.0
2009-07-02,62.8931687243,1008.73893004,374.122016461,24.9167489712,10.0566666667,32.28,NE,2009.0,7.0,2.0
2009-07-03,66.1135763889,1003.24979167,288.410416667,24.5499652778,8.06048611111,46.44,E,2009.0,7.0,3.0
2009-07-04,67.7716666667,1002.50850694,293.675277778,21.2212152778,10.646875,31.56,W,2009.0,7.0,4.0
2009-07-05,53.5579861111,1000.92111111,384.193368056,22.3164930556,5.23326388889,27.84,W,2009.0,7.0,5.0
2009-07-06,72.4740277778,997.611041667,287.892881944,19.1476041667,11.4130555556,51.8,SW,2009.0,7.0,6.0
2009-07-07,67.9268402778,994.7171875,334.580034722,17.1953819444,16.8388194444,56.14,SW,2009.0,7.0,7.0
2009-07-08,82.5842168675,995.208232932,174.355261044,14.8265461847,14.5499598394,50.82,W,2009.0,7.0,8.0
2009-07-09,80.4373263889,1000.79357639,202.0434375,13.2580902778,14.0213888889,44.17,SW,2009.0,7.0,9.0
2009-07-10,86.3643055556,999.629895833,98.7998958333,12.1645486111,17.3782638889,64.29,SW,2009.0,7.0,10.0
2009-07-11,82.0778819444,1003.18298611,160.579375,13.4515972222,10.6878819444,35.13,SW,2009.0,7.0,11.0
2009-07-12,87.3407986111,1000.06142361,117.560590278,15.9085416667,7.95673611111,29.57,SW,2009.0,7.0,12.0
2009-07-13,67.9501736111,1001.37125,330.464131944,18.5258680556,10.5427083333,39.11,SW,2009.0,7.0,13.0
2009-07-14,65.5719097222,1000.69770833,301.094340278,20.9451388889,8.57173611111,54.99,SW,2009.0,7.0,14.0
2009-07-15,64.7976736111,1005.44791667,329.626597222,21.7161458333,12.0661111111,47.25,SW,2009.0,7.0,15.0
2009-07-16,55.8013888889,1010.49934028,327.698020833,21.6327777778,7.41322916667,32.28,W,2009.0,7.0,16.0
2009-07-17,63.1185763889,999.580694444,196.054270833,20.3595138889,10.5914930556,39.67,SW,2009.0,7.0,17.0
2009-07-18,71.1894097222,997.751145833,154.780902778,16.4071875,15.8833333333,52.82,SW,2009.0,7.0,18.0
2009-07-19,78.5110763889,1001.75368056,161.329479167,15.1330902778,10.7712152778,44.9,SW,2009.0,7.0,19.0
2009-07-20,73.4289236111,1003.87954861,243.814826389,16.0074305556,14.9739236111,49.87,SW,2009.0,7.0,20.0
2009-07-21,65.9493402778,1002.22642361,313.823402778,20.0869444444,8.30902777778,43.46,SW,2009.0,7.0,21.0
2009-07-22,75.8948432056,995.501881533,185.759581882,21.2690940767,11.8357491289,45.66,SW,2009.0,7.0,22.0
2009-07-23,85.0758680556,993.629409722,116.698854167,18.1259722222,8.37013888889,27.84,SW,2009.0,7.0,23.0
2009-07-24,81.7400347222,1001.08673611,243.715555556,16.0554166667,11.4343055556,43.46,SW,2009.0,7.0,24.0
2009-07-25,77.2666319444,1007.60857639,266.987395833,16.0343055556,14.1638541667,48.97,SW,2009.0,7.0,25.0
2009-07-26,65.2538541667,1010.38121528,278.304409722,17.900625,10.2414583333,37.01,SW,2009.0,7.0,26.0
2009-07-27,60.9996180556,1001.93663194,306.502152778,21.0054861111,11.7994444444,48.09,SW,2009.0,7.0,27.0
2009-07-28,70.6044097222,1008.95520833,239.212013889,17.0227430556,12.1051736111,35.58,SW,2009.0,7.0,28.0
2009-07-29,75.0727631579,1009.81934211,1.64105263158,13.6480263158,6.51921052632,15.84,E,2009.0,7.0,29.0
2009-07-30,65.6015384615,1008.25813187,396.004010989,17.5612087912,19.0128021978,58.61,SW,2009.0,7.0,30.0
2009-07-31,64.0784027778,1012.62506944,324.5565625,16.4998263889,8.56024305556,27.57,SW,2009.0,7.0,31.0
2009-08-01,60.6371875,1004.1965625,248.548298611,19.4356944444,7.93159722222,34.26,SE,2009.0,8.0,1.0
2009-08-02,80.4890277778,999.097986111,129.916006944,17.9940972222,8.75715277778,34.69,W,2009.0,8.0,2.0
